tree_ID,bloc,treatment,genus,species,Note,248_1,248_2,248_3,248_percent,255_1,255_2,255_3,255_percent,262_1,262_2,262_3,262_percent,269_1,269_2,269_3,269_percent,276_1,276_2,276_3,276_percent,283_1,283_2,283_3,283_percent
Acne_CoolS/CoolF_B1_R1,1,CoolS/CoolF,acer,acer_negundo,doy283: no green leaves,9.9,7.9,8.8,60,9.3,7.6,9.3,60,3.3,9.9,8.2,50,7,6.7,1.7,40,9.6,8.3,10.7,10,na,na,na,0
Acne_CoolS/CoolF_B1_R2,1,CoolS/CoolF,acer,acer_negundo,doy283: no green leaves,8.5,8.8,4.2,40,8.9,3.8,3.1,40,4,7.7,8.3,30,7,4.1,1.2,30,8.8,2.4,3.5,5,na,na,na,0
Acne_CoolS/CoolF_B1_R3,1,CoolS/CoolF,acer,acer_negundo,doy276: no green leaves,11.7,8.9,6.8,60,3.3,5.9,5.8,60,3,1.8,7.2,40,1.5,1.8,1.7,10,na,na,na,0,na,na,na,0
Acne_CoolS/CoolF_B1_R4,1,CoolS/CoolF,acer,acer_negundo,doy255: previous measuremt percent wrong; doy283: last leaves fell,7.7,3.7,9.7,30,2.7,10.6,3.7,50,2.1,8.6,7.7,50,6.2,5.1,3.7,30,6.4,3,2,10,na,na,na,0
Acne_CoolS/CoolF_B1_R5,1,CoolS/CoolF,acer,acer_negundo,doy283: last leaves fell,8,9.9,6.7,30,7.4,2.9,8.7,30,1.4,3.7,6.2,20,4.2,2.1,2.9,20,0.9,2.1,3.6,5,na,na,na,0
Acne_CoolS/CoolF_B2_R6,2,CoolS/CoolF,acer,acer_negundo,doy255: previous measurement percent wrong,4.7,6.3,5.9,30,4.4,6.5,3.3,60,7.5,2.9,4.9,60,2.4,3.8,2.4,30,14.4,3.5,12.6,10,7.6,3.7,3.5,5
Acne_CoolS/CoolF_B2_R7,2,CoolS/CoolF,acer,acer_negundo,doy276: last leaves fell,4.4,5.7,4.3,40,2.5,1.5,1.2,40,2.9,1.5,1.6,20,1.2,1.2,1.8,5,na,na,na,0,na,na,na,0
Acne_CoolS/CoolF_B2_R8,2,CoolS/CoolF,acer,acer_negundo,doy283: no green leaves,4.5,2.8,4,20,6.7,5.1,1.3,20,3.3,2.3,6.5,20,4.4,6.4,1.1,20,8,14.9,17.8,10,na,na,na,0
Acne_CoolS/CoolF_B2_R9,2,CoolS/CoolF,acer,acer_negundo,doy283: no green leaves,10.4,6.3,5.5,60,6.6,4.1,1.6,50,6.3,1.4,1.3,40,6.7,6.4,5.3,30,8.9,3.9,8.1,10,na,na,na,0
Acne_CoolS/CoolF_B2_R10,2,CoolS/CoolF,acer,acer_negundo,doy276: no green leaves; doy283: last leaves fell,4.9,1.3,5.9,70,4.5,3.2,6.1,70,4.6,5.6,4.7,50,1.8,1.2,1.2,10,na,na,na,0,na,na,na,0
Acne_CoolS/CoolF_B3_R11,3,CoolS/CoolF,acer,acer_negundo,doy276: no green leaves; doy283: last leaves fell,12.9,9.3,9.6,40,5.6,11.3,7.6,30,5.8,7.6,5.4,30,1.4,1.3,0.9,5,na,na,na,0,na,na,na,0
Acne_CoolS/CoolF_B3_R12,3,CoolS/CoolF,acer,acer_negundo,,8.2,7.7,6.6,30,7.9,6.1,6.6,30,6.6,7.9,4.2,20,3.9,1.5,5.1,10,na,na,na,5,na,na,na,5
Acne_CoolS/CoolF_B3_R13,3,CoolS/CoolF,acer,acer_negundo,doy276: last leaves fell,6.8,9.9,9.6,20,6.1,8.6,9.1,20,3.9,4.2,5.7,10,na,na,na,0,na,na,na,0,na,na,na,0
Acne_CoolS/CoolF_B3_R14,3,CoolS/CoolF,acer,acer_negundo,doy269: no percent measures; doy283: last leaves fell,4.9,4,7,20,3.3,7.2,6.3,20,14.4,5.9,2.6,10,1.3,1.6,1.3,na,na,na,na,5,na,na,na,0
Acne_CoolS/CoolF_B3_R15,3,CoolS/CoolF,acer,acer_negundo,doy276: last leaves fell,8.1,6.2,5,20,6.2,4.5,4.8,20,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0
Acne_CoolS/CoolF_B1_R1_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,doy283: last leaves fell,18.1,17.2,18,50,8,3.1,13.4,40,16.5,2.7,13.7,30,4.4,7.8,6.9,20,30.7,19.9,27.6,10,na,na,na,0
Acne_CoolS/CoolF_B1_R2_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,8,7,11.9,50,8,3.4,7.6,50,1.7,4.3,7.8,50,4.7,7.8,6.3,50,22.4,9.7,14.8,30,5.7,14.1,11.7,
Acne_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,doy283: last leaves fell,13.2,9.1,12.1,40,10.9,6.4,8.4,40,10,11.2,4.7,40,5.3,2.7,5.9,40,8.4,13.6,4.9,10,na,na,na,0
Acne_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,doy255: previous measurement percent wrong; doy283: last leaves fell,10,9.9,9.9,30,10.4,3.5,3.9,60,9,8,6.5,30,4.8,1.4,3.6,30,6.5,1.1,3.9,5,na,na,na,0
Acne_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,doy269: last percentage wrong?; doy283: no green leaves,7.8,10.8,11.7,20,10.5,4.8,2.9,20,11.3,5,17.5,20,11.1,7.8,3.8,20,27.5,14.5,19.3,20,na,na,na,0
Acne_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,doy255: previous measurement percent wrong; doy283: no green leaves,9.6,14.5,7.6,30,6.8,10.4,7.1,40,9.1,7,19.5,20,10.5,4.8,5.9,20,17.4,29.7,7.8,5,na,na,na,0
Acne_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,doy276: last leaves fell,5.8,5.1,4.3,60,5.8,3.6,3.8,50,3,4.4,4.3,20,1.7,1.6,1.4,10,na,na,na,0,na,na,na,0
Acne_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,doy283: last leaves fell,5.3,4,4.9,30,5.2,6.2,4.5,30,5.3,7.5,5,20,5,4.4,3.1,20,7.5,16.3,12.4,10,na,na,na,0
Acne_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,doy276: no green leaves; doy283: last leaves fell,8.5,9,8.1,20,6.9,8.5,3.9,20,3.3,4.5,5.6,10,2.1,3.1,1.8,10,na,na,na,0,na,na,na,0
Acne_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,doy283: no green leaves,6.2,5.8,7.1,30,5.8,4.4,8.3,30,6.9,8,4.9,20,7.1,2,1.4,10,17.4,12.1,10.3,10,na,na,na,0
Acne_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,doy283: no green leaves,7.9,5.4,9.3,20,6.7,8,6.8,20,10.9,10.6,11.7,20,4.9,1.6,4,10,12.3,17,27.7,5,na,na,na,0
Acne_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,doy269: last leaves fell,4.2,2.9,8.6,20,4.9,5,5.7,20,10.1,3.4,8.4,10,na,na,na,0,na,na,na,0,na,na,na,0
Acne_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,doy269: last leaves fell,6.4,7.2,1.7,20,5.9,5.6,6.4,20,5.5,3.1,4.6,5,na,na,na,0,na,na,na,0,na,na,na,0
Acne_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,doy276: no green leaves; doy283: last leaves fell,11,13.9,1.2,50,13.3,14,8,50,13.6,6.4,10.9,30,3.6,2.5,2.8,5,na,na,na,0,na,na,na,0
Acne_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,doy276: last leaves fell,7.8,5.9,6.2,10,5.2,4.9,6.4,20,7.9,5.9,5.5,10,na,na,na,na,na,na,na,0,na,na,na,0
Acne_CoolS/WarmF_B1_R1,1,CoolS/WarmF,acer,acer_negundo,,7.3,6.1,4.6,30,6,4.9,5.4,20,4.5,5.6,1.4,20,,,,10,14,15.8,9.8,10,4.8,4.8,4.7,10
Acne_CoolS/WarmF_B1_R2,1,CoolS/WarmF,acer,acer_negundo,,14.9,6.7,3.3,50,3.7,10.9,1.8,40,2.5,4.5,4.7,20,,,,20,10.1,1.1,16.1,20,11.9,1.3,4.6,10
Acne_CoolS/WarmF_B1_R3,1,CoolS/WarmF,acer,acer_negundo,,7.1,6,4.5,70,6.9,1.9,4.6,60,3.4,3.8,4.2,60,,,,50,21.3,21.2,15.5,50,11.9,13.3,12.6,40
Acne_CoolS/WarmF_B1_R4,1,CoolS/WarmF,acer,acer_negundo,,17.1,11.4,12,70,7.5,11,3.3,60,5.1,6.5,6.1,60,,,,50,20.2,6.2,6.2,40,16,6.6,4.7,20
Acne_CoolS/WarmF_B1_R5,1,CoolS/WarmF,acer,acer_negundo,doy283: last leaves fell,8.5,11.2,12.5,70,4,8.1,1.8,50,3.6,5.2,1.5,30,,,,20,6.5,1.4,3.8,5,na,na,na,0
Acne_CoolS/WarmF_B2_R6,2,CoolS/WarmF,acer,acer_negundo,,7.4,11.1,7.9,40,9,8.7,5.1,40,4.9,1.5,5.5,40,,,,40,18.5,18.2,3.9,20,6.8,16.4,9.1,20
Acne_CoolS/WarmF_B2_R7,2,CoolS/WarmF,acer,acer_negundo,,7.9,6,7.5,40,8.1,6.2,3.5,40,5.9,4.1,1.9,40,,,,40,12.4,9.2,14.6,30,18.3,6.6,10,30
Acne_CoolS/WarmF_B2_R8,2,CoolS/WarmF,acer,acer_negundo,doy276: no green leaves; doy283: last leaves fell,9.6,2.7,5.4,30,6.2,5.7,1.7,30,1.9,5.2,2.8,20,,,,10,na,na,na,0,na,na,na,0
Acne_CoolS/WarmF_B2_R9,2,CoolS/WarmF,acer,acer_negundo,doy262: last leaves fell,4.6,7.6,5.2,10,4.4,2.2,2,10,na,na,na,0,,,,0,na,na,na,0,na,na,na,0
Acne_CoolS/WarmF_B2_R10,2,CoolS/WarmF,acer,acer_negundo,doy255: last leaves fell,2,2.3,2.4,5,na,na,na,0,na,na,na,0,,,,0,na,na,na,0,na,na,na,0
Acne_CoolS/WarmF_B3_R11,3,CoolS/WarmF,acer,acer_negundo,doy283: last leaves fell,9.1,5,7.5,30,6.8,4.3,2.2,30,3.3,5.3,5.7,20,,,,10,9.2,9.5,8.3,0,na,na,na,0
Acne_CoolS/WarmF_B3_R12,3,CoolS/WarmF,acer,acer_negundo,doy283: no green leaves,7.3,6.4,6.9,50,4.7,5.6,6.1,40,3.6,4.4,3.1,20,,,,5,18.8,21.1,9.1,5,na,na,na,0
Acne_CoolS/WarmF_B3_R13,3,CoolS/WarmF,acer,acer_negundo,doy262: last leaves fell,10.7,9.4,18.9,70,9.3,3.2,3,30,na,na,na,0,,,,0,na,na,na,0,na,na,na,0
Acne_CoolS/WarmF_B3_R14,3,CoolS/WarmF,acer,acer_negundo,doy283: no green leaves,5.5,6,6.6,40,6.3,4.9,4.3,40,2.9,3.8,2,30,,,,10,11.1,7.7,8.2,5,na,na,na,0
Acne_CoolS/WarmF_B3_R15,3,CoolS/WarmF,acer,acer_negundo,doy283: no green leaves,11.1,7.1,9.4,60,7.6,5.7,5.8,60,4.6,3.6,4.9,40,,,,20,9.6,14.1,7.5,10,na,na,na,0
Acne_WarmS/CoolF_B1_R1,1,WarmS/CoolF,acer,acer_negundo,doy276: last leaves fell,6.4,7.2,5.8,60,6.5,6.9,5.4,50,2.2,5.4,2.1,20,2.3,3.4,2,5,na,na,na,0,na,na,na,0
Acne_WarmS/CoolF_B1_R2,1,WarmS/CoolF,acer,acer_negundo,doy283: no green leaves,5.4,8.8,4.3,30,5.3,8.3,5.5,30,8.2,4.1,12.7,20,6.2,4.8,3.4,20,9.3,8.8,3.6,5,na,na,na,0
Acne_WarmS/CoolF_B1_R3,1,WarmS/CoolF,acer,acer_negundo,doy269: last percentage wrong?,11.6,9.9,8.1,50,10.8,8.2,6,40,4.3,9.9,8.8,40,6.4,9.1,1.5,40,19.6,17.3,7.2,30,12.6,13.2,17.5,5
Acne_WarmS/CoolF_B1_R4,1,WarmS/CoolF,acer,acer_negundo,doy283: no green leaves,11,6.3,8.4,60,11.5,9.7,3,30,9,4.1,6.2,20,7.3,1.9,2.4,10,25.1,27,23.7,5,na,na,na,0
Acne_WarmS/CoolF_B1_R5,1,WarmS/CoolF,acer,acer_negundo,doy276: no green leaves,4.2,7.9,12.2,70,4.8,5.9,4.8,50,2.7,4,3,20,8.1,1.6,1.5,10,na,na,na,0,na,na,na,0
Acne_WarmS/CoolF_B2_R6,2,WarmS/CoolF,acer,acer_negundo,doy262: no green leaves; doy 276: last leaves fell,1.6,10.1,5.7,10,4,5.6,4.2,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0
Acne_WarmS/CoolF_B2_R7,2,WarmS/CoolF,acer,acer_negundo,doy262: no green leaves; doy 276: last leaves fell,6.1,6.7,3.4,20,4.1,1.8,4.2,20,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0
Acne_WarmS/CoolF_B2_R8,2,WarmS/CoolF,acer,acer_negundo,doy276: last leaves fell,6.8,3.6,4.9,30,5.1,2,4,30,2,5.7,1.4,10,1.2,1.9,1.3,5,na,na,na,0,na,na,na,0
Acne_WarmS/CoolF_B2_R9,2,WarmS/CoolF,acer,acer_negundo,"doy262: 1 green leaves, cant do chl",9.6,4.3,4.7,20,2.7,4.8,3,10,na,na,na,5,na,na,na,0,na,na,na,0,na,na,na,0
Acne_WarmS/CoolF_B2_R10,2,WarmS/CoolF,acer,acer_negundo,doy276: last leaves fell,3.5,3.5,1.8,5,5.7,4.2,2.8,5,3.9,4.2,3.4,5,na,na,na,na,na,na,na,0,na,na,na,0
Acne_WarmS/CoolF_B3_R11,3,WarmS/CoolF,acer,acer_negundo,doy269: forgot to measure,5.3,5.3,5.2,10,na,na,na,0,na,na,na,0,na,na,na,na,na,na,na,0,na,na,na,0
Acne_WarmS/CoolF_B3_R12,3,WarmS/CoolF,acer,acer_negundo,doy269: forgot to measure,3.3,6.3,3.3,5,2,1.8,2,5,7.5,3.9,1.8,5,na,na,na,na,na,na,na,0,na,na,na,0
Acne_WarmS/CoolF_B3_R13,3,WarmS/CoolF,acer,acer_negundo,doy269: forgot to measure,9.2,5,7.1,20,6.2,2.6,1.6,20,5.2,5.4,7.3,10,na,na,na,na,na,na,na,0,na,na,na,0
Acne_WarmS/CoolF_B3_R14,3,WarmS/CoolF,acer,acer_negundo,doy269: forgot to measure,6.4,10.9,6.7,20,8.9,3.4,12.5,20,4.5,4.7,4.4,10,na,na,na,na,na,na,na,0,na,na,na,0
Acne_WarmS/CoolF_B3_R15,3,WarmS/CoolF,acer,acer_negundo,doy269: forgot to measure,5.3,11.4,13.5,20,5.2,5.5,7.3,20,8.9,8.8,6.9,10,na,na,na,na,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B1_R1,1,WarmS/WarmF,acer,acer_negundo,doy276: no green leaves; doy283: last leaves fell,4.9,7.1,5.9,20,3,2.5,5.2,20,3.5,1.9,1.3,10,,,,5,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B1_R2,1,WarmS/WarmF,acer,acer_negundo,doy283: no green leaves,7.4,8.3,4.2,10,2.2,3.3,4.6,10,2.8,1.7,1.9,5,,,,5,3,2.8,2.7,5,na,na,na,0
Acne_WarmS/WarmF_B1_R3,1,WarmS/WarmF,acer,acer_negundo,doy276: last leaves fell,5.8,8.4,6.9,20,4.3,1.6,2.1,10,1.3,1.9,1.7,5,,,,0,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B1_R4,1,WarmS/WarmF,acer,acer_negundo,doy276: last leaves fell,8.7,8,6.7,60,2.6,2.8,3.5,30,1.4,2.1,2.6,0,,,,0,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B1_R5,1,WarmS/WarmF,acer,acer_negundo,,7.1,8,8.3,80,6.9,2.4,2.8,60,4.4,6,7,60,,,,50,18.5,19.6,25.3,50,18.5,19.2,20.8,50
Acne_WarmS/WarmF_B2_R6,2,WarmS/WarmF,acer,acer_negundo,doy262: last leaves fell,3.2,3.3,5.9,20,2.1,2.4,1.8,10,na,na,na,0,,,,0,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B2_R7,2,WarmS/WarmF,acer,acer_negundo,doy276: last leaves fell,4.1,3.6,3.2,50,2,1.6,2.6,30,1.2,1.9,1.4,20,,,,10,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B2_R8,2,WarmS/WarmF,acer,acer_negundo,doy283: last leaves fell,4.3,4.3,4.5,30,3.3,1.3,1.2,30,2.5,1.2,1.1,20,,,,10,9.6,1.5,4.9,5,na,na,na,0
Acne_WarmS/WarmF_B2_R9,2,WarmS/WarmF,acer,acer_negundo,doy276: no green leaves; doy283: last leaves fell,7.8,4.8,3.2,60,3.4,1.2,1.1,30,2.6,1.8,1.1,20,,,,10,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B2_R10,2,WarmS/WarmF,acer,acer_negundo,doy262: no green leaves; doy 283: last leaves fell,5.2,6.1,4.9,20,1.2,3.3,1.5,10,1.4,2.9,1.6,0,,,,0,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B3_R11,3,WarmS/WarmF,acer,acer_negundo,doy262: last leaves fell,9.5,7.2,9,10,1.9,2.6,1.4,5,na,na,na,0,,,,0,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B3_R12,3,WarmS/WarmF,acer,acer_negundo,doy262: no green leaves; doy283: last leaves fell,8.1,9.3,5.1,30,1.4,3.9,2.7,10,na,na,na,0,,,,0,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B3_R13,3,WarmS/WarmF,acer,acer_negundo,doy255: last leaves fell,9.6,8.3,6.5,40,na,na,na,0,na,na,na,0,,,,0,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B3_R14,3,WarmS/WarmF,acer,acer_negundo,doy262: last leaves fell,11.7,6.1,7.1,20,5.2,2.3,3.8,10,na,na,na,0,,,,0,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B3_R15,3,WarmS/WarmF,acer,acer_negundo,,4.9,5.5,8,30,4.4,4.3,4.1,20,3.4,2.9,2.8,20,,,,10,10.4,11,10.9,10,6.5,12.3,8.7,10
Acne_WarmS/WarmF_B1_R1_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,doy283: no green leaves,7.2,6.2,12.5,10,5.6,5.6,5.6,10,3.6,4.3,3.1,10,,,,10,12.5,9.1,1.3,5,1.8,8,4.4,0
Acne_WarmS/WarmF_B1_R2_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,doy276: last leaves fell,6.2,4.3,7.1,10,4.1,3.7,2.6,10,1.8,2.4,1.2,5,,,,0,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B1_R3_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,doy255: doy248 measurement percent wrong,7.6,4.8,6.2,10,5.7,4.6,2,30,3.3,3.6,3.1,10,,,,10,1,3,1.4,5,na,na,na,0
Acne_WarmS/WarmF_B1_R4_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,doy255: doy248 measurement percent wrong,7.6,3.8,1.4,10,4.4,5.3,5.7,20,2.6,3.9,3.1,20,,,,20,11.5,16.5,2.2,10,14.8,13.3,7.5,10
Acne_WarmS/WarmF_B1_R5_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,doy255: doy248 measurement percent wrong,8.4,3.8,6.3,10,4.7,5.8,1.6,20,3.3,3.9,5.7,20,,,,10,7.6,8.7,15.5,10,0.1,18,11,10
Acne_WarmS/WarmF_B2_R6_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,6.9,4.2,3.9,20,4.2,5.7,2.7,20,4.7,1.4,3.7,20,,,,20,11.7,12.5,19,20,14.7,15,9.3,20
Acne_WarmS/WarmF_B2_R7_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,doy276: last leaves fell,7.3,9.5,5.5,40,2.9,3.9,4.3,30,3.1,4.3,1.4,10,,,,5,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B2_R8_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,doy276: last leaves fell,5.7,4.7,1.3,10,2.7,3.3,1.9,10,1.3,1.4,1.2,5,,,,0,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B2_R9_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,doy262: no green leaves; doy283: last leaves fell,9.2,7.1,8.2,10,2.1,5.4,3.3,10,na,na,na,0,,,,0,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B2_R10_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,doy283: no green leaves,8.8,9,6.2,30,7.1,3.9,3,30,5,1.3,3.6,20,,,,10,12.5,1.3,7.6,5,3.3,0.6,10.3,0
Acne_WarmS/WarmF_B3_R11_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,doy262: last leaves fell,7.9,5.5,9.1,20,6.1,2.7,1.4,10,na,na,na,0,,,,0,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B3_R12_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,doy283: no green leaves,13.7,1.8,6.1,20,8.7,7.5,2.6,20,6.4,6.2,4.5,10,,,,10,6,12.9,12.6,5,4.1,9.7,2.9,0
Acne_WarmS/WarmF_B3_R13_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,doy283: no green leaves,8.9,8.9,1.6,20,5.5,6,3.9,20,3.6,6,2.6,10,,,,10,2.7,1.4,1.8,5,na,na,na,0
Acne_WarmS/WarmF_B3_R14_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,"doy262: only one leaf left , no chl; doy283: last leaves fell",5.2,10.5,10.1,10,7.8,2.7,6.8,10,na,na,na,5,,,,5,na,na,na,0,na,na,na,0
Acne_WarmS/WarmF_B3_R15_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,,11.8,10.1,7.7,30,7.2,1.2,4,30,4,1.9,5.6,20,,,,20,23.2,20.8,17.5,20,16.5,18.5,12.2,20
