Day of year,Time,Temperature,Humidity,CO2,Light 1,Light 2,Light 3,Light 4,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,Fan Speed
1,0:00:00,15,0,0,0,0,0,0,0,0,0,0,70
1,1:00:00,15,0,0,0,0,0,0,0,0,0,0,70
1,2:00:00,15,0,0,0,0,0,0,0,0,0,0,70
1,3:00:00,15,0,0,0,0,0,0,0,0,0,0,70
1,4:00:00,15,0,0,0,0,0,0,0,0,0,0,70
1,5:34:00,15,0,0,10,0,0,0,0,0,0,0,70
1,6:00:00,17,0,0,30,0,0,0,0,0,0,0,70
1,7:00:00,19,0,0,50,0,0,0,0,0,0,0,70
1,8:00:00,21,0,0,70,0,0,0,0,0,0,0,70
1,9:00:00,22,0,0,90,0,0,0,0,0,0,0,70
1,10:00:00,22,0,0,100,0,0,0,0,0,0,0,70
1,11:00:00,22,0,0,100,0,0,0,0,0,0,0,70
1,12:00:00,22,0,0,100,0,0,0,0,0,0,0,70
1,13:00:00,22,0,0,100,0,0,0,0,0,0,0,70
1,14:00:00,22,0,0,100,0,0,0,0,0,0,0,70
1,15:00:00,22,0,0,100,0,0,0,0,0,0,0,70
1,16:00:00,22,0,0,80,0,0,0,0,0,0,0,70
1,17:00:00,21,0,0,60,0,0,0,0,0,0,0,70
1,18:00:00,19,0,0,40,0,0,0,0,0,0,0,70
1,18:09:00,17,0,0,20,0,0,0,0,0,0,0,70
1,18:48:00,15,0,0,0,0,0,0,0,0,0,0,70
1,19:00:00,15,0,0,0,0,0,0,0,0,0,0,70
1,20:00:00,15,0,0,0,0,0,0,0,0,0,0,70
1,21:00:00,15,0,0,0,0,0,0,0,0,0,0,70
1,22:00:00,15,0,0,0,0,0,0,0,0,0,0,70
1,23:00:00,15,0,0,0,0,0,0,0,0,0,0,70